iter	Passed	Remaining
0	402	402380
1	653	325896
2	874	290699
3	1107	275809
4	1363	271334
5	1560	258599
6	1789	253842
7	2005	248671
8	2263	249211
9	2493	246847
10	2739	246275
11	2968	244434
12	3182	241606
13	3488	245689
14	3689	242282
15	3924	241361
16	4146	239742
17	4373	238622
18	4639	239569
19	4852	237755
20	5191	242007
21	5413	240671
22	5633	239296
23	5879	239103
24	6083	237254
25	6308	236320
26	6501	234289
27	6700	232593
28	6926	231918
29	7164	231636
30	7413	231737
31	7662	231787
32	7884	231049
33	8104	230269
34	8324	229523
35	8550	228971
36	8783	228597
37	9025	228475
38	9244	227798
39	9468	227249
40	9697	226819
41	9922	226335
42	10136	225598
43	10363	225162
44	10608	225146
45	10840	224826
46	11068	224429
47	11289	223900
48	11558	224321
49	11782	223874
50	11983	222979
51	12218	222744
52	12417	221882
53	12655	221700
54	12846	220718
55	13092	220695
56	13281	219727
57	13529	219733
58	13737	219102
59	13961	218728
60	14181	218303
61	14382	217591
62	14607	217256
63	14796	216399
64	15001	215796
65	15224	215454
66	15468	215397
67	15672	214802
68	15872	214159
69	16078	213618
70	16361	214085
71	16571	213584
72	16771	212972
73	16986	212563
74	17188	211986
75	17396	211501
76	17617	211179
77	17831	210778
78	18026	210157
79	18238	209743
80	18427	209070
81	18631	208577
82	18828	208021
83	19062	207872
84	19258	207316
85	19468	206906
86	19681	206543
87	19891	206148
88	20110	205850
89	20319	205451
90	20548	205260
91	20734	204635
92	20940	204223
93	21142	203773
94	21336	203262
95	21531	202751
96	21776	202720
97	21960	202124
98	22156	201643
99	22348	201137
100	22580	200988
101	22763	200407
102	22971	200053
103	23175	199662
104	23390	199378
105	23600	199047
106	23874	199252
107	24049	198627
108	24240	198151
109	24460	197911
110	24677	197640
111	24871	197197
112	25080	196871
113	25265	196362
114	25478	196072
115	25680	195704
116	25913	195569
117	26108	195153
118	26294	194665
119	26489	194254
120	26698	193951
121	26883	193475
122	27083	193109
123	27256	192555
124	27471	192298
125	27674	191967
126	27885	191686
127	28066	191201
128	28267	190862
129	28456	190439
130	28661	190130
131	28860	189780
132	29063	189458
133	29257	189080
134	29458	188752
135	29662	188441
136	29853	188056
137	30116	188121
138	30309	187743
139	30509	187417
140	30705	187061
141	30915	186797
142	31178	186854
143	31446	186929
144	31687	186845
145	31902	186607
146	32168	186666
147	32386	186440
148	32606	186231
149	32837	186077
150	33039	185765
151	33257	185539
152	33492	185412
153	33696	185113
154	33906	184844
155	34076	184365
156	34268	184002
157	34450	183591
158	34668	183369
159	34859	183014
160	35039	182596
161	35226	182220
162	35435	181959
163	35640	181681
164	35849	181420
165	36041	181073
166	36237	180753
167	36418	180358
168	36630	180115
169	36822	179782
170	37017	179458
171	37202	179092
172	37387	178727
173	37600	178493
174	37798	178191
175	37985	177842
176	38174	177499
177	38362	177156
178	38566	176887
179	38772	176629
180	38966	176317
181	39175	176073
182	39358	175714
183	39560	175442
184	39749	175112
185	39955	174858
186	40142	174523
187	40330	174194
188	40547	173989
189	40754	173741
